ID,Team,Position,Player,Age,Caps,Goals,WC Goals,League,Club
597,Sweden,Forward,Taha Ali,27,2,0,0,Swedish Football Association,Malmö FF
598,Tunisia,Goalkeeper,Mouhib Chamakh,24,2,0,0,Tunisian Football Federation,Club Africain
599,Tunisia,Defender,Ali Abdi,32,46,7,0,French Football Federation,Nice
600,Tunisia,Defender,Montassar Talbi,28,64,4,0,French Football Federation,Lorient
601,Tunisia,Defender,Omar Rekik,24,6,0,0,Football Association of Slovenia,Maribor
602,Tunisia,Defender,Adem Arous,21,2,0,0,Turkish Football Federation,Kasımpaşa
603,Tunisia,Defender,Dylan Bronn,30,52,2,0,Swiss Football Association,Servette
604,Tunisia,Forward,Elias Achouri,27,30,4,0,Danish Football Association,Copenhagen
605,Tunisia,Forward,Elias Saad,26,15,4,0,German Football Association,Hannover 96
606,Tunisia,Forward,Hazem Mastouri,28,19,4,0,Russian Football Union,Dynamo Makhachkala
607,Tunisia,Midfielder,Hannibal Mejbri,23,45,1,0,The Football Association,Burnley
608,Tunisia,Midfielder,Ismaël Gharbi,22,17,2,0,German Football Association,FC Augsburg
609,Tunisia,Defender,Mortadha Ben Ouanes,31,18,0,0,Turkish Football Federation,Kasımpaşa
610,Tunisia,Midfielder,Rani Khedira,32,3,0,0,German Football Association,Union Berlin
611,Tunisia,Midfielder,Khalil Ayari,21,4,0,0,French Football Federation,Paris Saint-Germain
612,Tunisia,Midfielder,Hadj Mahmoud,26,9,0,0,Swiss Football Association,Lugano
613,Tunisia,Goalkeeper,Aymen Dahmen,29,37,0,0,Tunisian Football Federation,CS Sfaxien
614,Tunisia,Midfielder,Ellyes Skhiri (captain),31,83,4,0,German Football Association,Eintracht Frankfurt
615,Tunisia,Forward,Rayan Elloumi,18,4,0,0,Canadian Soccer Association,Vancouver Whitecaps FC
616,Tunisia,Forward,Firas Chaouat,30,30,6,0,Tunisian Football Federation,Club Africain
617,Tunisia,Defender,Yan Valery,27,22,0,0,Swiss Football Association,Young Boys
618,Tunisia,Defender,Mohamed Amine Ben Hamida,30,13,0,0,Tunisian Football Federation,Espérance de Tunis
619,Tunisia,Goalkeeper,Sabri Ben Hessen,29,2,0,0,Tunisian Football Federation,Étoile du Sahel
620,Tunisia,Defender,Moutaz Neffati,21,5,0,0,Swedish Football Association,IFK Norrköping
621,Tunisia,Defender,Raed Chikhaoui,22,0,0,0,Tunisian Football Federation,US Monastir
622,Tunisia,Midfielder,Anis Ben Slimane,25,41,4,0,The Football Association,Norwich City
623,Tunisia,Midfielder,Sebastian Tounekti,23,12,1,0,Scottish Football Association,Celtic
624,Belgium,Goalkeeper,Thibaut Courtois,34,109,0,0,Royal Spanish Football Federation,Real Madrid
625,Belgium,Defender,Zeno Debast,22,26,1,0,Portuguese Football Federation,Sporting CP
626,Belgium,Defender,Arthur Theate,26,33,1,0,German Football Association,Eintracht Frankfurt
627,Belgium,Defender,Brandon Mechele,33,9,1,0,Royal Belgian Football Association,Club Brugge
628,Belgium,Defender,Maxim De Cuyper,25,19,4,0,The Football Association,Brighton & Hove Albion
629,Belgium,Midfielder,Axel Witsel,37,138,12,0,Royal Spanish Football Federation,Girona
630,Belgium,Midfielder,Kevin De Bruyne,34,119,37,0,Italian Football Federation,Napoli
631,Belgium,Midfielder,Youri Tielemans (captain),29,85,13,0,The Football Association,Aston Villa
632,Belgium,Forward,Romelu Lukaku,33,126,90,0,Italian Football Federation,Napoli
633,Belgium,Forward,Leandro Trossard,31,51,12,0,The Football Association,Arsenal
634,Belgium,Forward,Jérémy Doku,24,43,7,0,The Football Association,Manchester City
635,Belgium,Goalkeeper,Senne Lammens,23,2,0,0,The Football Association,Manchester United
636,Belgium,Goalkeeper,Mike Penders,20,0,0,0,French Football Federation,Strasbourg
637,Belgium,Forward,Dodi Lukébakio,28,30,6,0,Portuguese Football Federation,Benfica
638,Belgium,Defender,Thomas Meunier,34,80,10,0,French Football Federation,Lille
639,Belgium,Defender,Koni De Winter,23,8,0,0,Italian Football Federation,Milan
640,Belgium,Forward,Charles De Ketelaere,25,30,6,0,Italian Football Federation,Atalanta
641,Belgium,Defender,Joaquin Seys,21,5,0,0,Royal Belgian Football Association,Club Brugge
642,Belgium,Midfielder,Diego Moreira,21,3,0,0,French Football Federation,Strasbourg
643,Belgium,Midfielder,Hans Vanaken,33,34,7,0,Royal Belgian Football Association,Club Brugge
644,Belgium,Defender,Timothy Castagne,30,63,2,0,The Football Association,Fulham
645,Belgium,Midfielder,Alexis Saelemaekers,26,24,2,0,Italian Football Federation,Milan
646,Belgium,Midfielder,Nicolas Raskin,25,13,2,0,Scottish Football Association,Rangers
647,Belgium,Midfielder,Amadou Onana,24,29,1,0,The Football Association,Aston Villa
648,Belgium,Defender,Nathan Ngoy,23,4,0,0,French Football Federation,Lille
649,Belgium,Forward,Matias Fernandez-Pardo,21,2,0,0,French Football Federation,Lille
650,Egypt,Goalkeeper,Mohamed El Shenawy,37,76,0,0,Egyptian Football Association,Al Ahly
651,Egypt,Defender,Yasser Ibrahim,33,17,1,0,Egyptian Football Association,Al Ahly
652,Egypt,Defender,Mohamed Hany,30,42,0,0,Egyptian Football Association,Al Ahly
653,Egypt,Defender,Hossam Abdelmaguid,25,13,0,0,Egyptian Football Association,Zamalek
654,Egypt,Defender,Ramy Rabia,33,44,5,0,United Arab Emirates Football Association,Al Ain
655,Egypt,Defender,Mohamed Abdelmonem,27,36,3,0,French Football Federation,Nice
656,Egypt,Forward,Trézéguet,31,96,23,0,Egyptian Football Association,Al Ahly
657,Egypt,Midfielder,Emam Ashour,28,29,0,0,Egyptian Football Association,Al Ahly
658,Egypt,Forward,Hamza Abdelkarim,18,2,0,0,Royal Spanish Football Federation,Barcelona B
659,Egypt,Forward,Mohamed Salah (captain),33,116,67,0,The Football Association,Liverpool
660,Egypt,Midfielder,Mostafa Ziko,29,2,2,0,Egyptian Football Association,Pyramids
661,Egypt,Forward,Haissem Hassan,24,4,0,0,Royal Spanish Football Federation,Oviedo
662,Egypt,Defender,Ahmed Fatouh,28,39,1,0,Egyptian Football Association,Zamalek
663,Egypt,Midfielder,Hamdy Fathy,31,63,3,0,Qatar Football Association,Al-Wakrah
664,Egypt,Defender,Karim Hafez,30,9,0,0,Egyptian Football Association,Pyramids
665,Egypt,Goalkeeper,El Mahdy Soliman,39,0,0,0,Egyptian Football Association,Zamalek
666,Egypt,Midfielder,Mohanad Lasheen,30,23,0,0,Egyptian Football Association,Pyramids
667,Egypt,Midfielder,Nabil Emad,30,12,0,0,Saudi Arabian Football Federation,Al-Najma
668,Egypt,Midfielder,Marwan Attia,27,34,1,0,Egyptian Football Association,Al Ahly
669,Egypt,Forward,Ibrahim Adel,25,24,3,0,Danish Football Association,Nordsjælland
670,Egypt,Midfielder,Mahmoud Saber,24,15,1,0,Egyptian Football Association,ZED
671,Egypt,Forward,Omar Marmoush,27,49,11,0,The Football Association,Manchester City
672,Egypt,Goalkeeper,Mostafa Shobeir,26,9,0,0,Egyptian Football Association,Al Ahly
673,Egypt,Defender,Tarek Alaa,24,3,0,0,Egyptian Football Association,ZED
674,Egypt,Forward,Zizo,30,63,5,0,Egyptian Football Association,Al Ahly
675,Egypt,Goalkeeper,Mohamed Alaa,27,0,0,0,Egyptian Football Association,El Gouna
676,Iran,Goalkeeper,Alireza Beiranvand,33,86,0,0,Football Federation Islamic Republic of Iran,Tractor
677,Iran,Defender,Saleh Hardani,27,18,1,0,Football Federation Islamic Republic of Iran,Esteghlal
678,Iran,Defender,Ehsan Hajsafi (captain),36,146,7,0,Football Federation Islamic Republic of Iran,Sepahan
679,Iran,Defender,Shojae Khalilzadeh,37,58,2,0,Football Federation Islamic Republic of Iran,Tractor
680,Iran,Defender,Milad Mohammadi,32,76,1,0,Football Federation Islamic Republic of Iran,Persepolis
681,Iran,Midfielder,Saeid Ezatolahi,29,83,2,0,United Arab Emirates Football Association,Shabab Al Ahli
682,Iran,Midfielder,Alireza Jahanbakhsh,32,98,17,0,Royal Belgian Football Association,Dender
683,Iran,Midfielder,Mohammad Mohebi,27,36,14,0,Russian Football Union,Rostov
684,Iran,Forward,Mehdi Taremi,33,105,60,0,Hellenic Football Federation,Olympiacos
685,Iran,Forward,Mehdi Ghayedi,27,30,10,0,United Arab Emirates Football Association,Al Nasr
686,Iran,Forward,Ali Alipour,30,14,1,0,Football Federation Islamic Republic of Iran,Persepolis
687,Iran,Goalkeeper,Payam Niazmand,31,15,0,0,Football Federation Islamic Republic of Iran,Persepolis
688,Iran,Defender,Hossein Kanaanizadegan,32,65,6,0,Football Federation Islamic Republic of Iran,Persepolis
689,Iran,Midfielder,Saman Ghoddos,32,68,3,0,United Arab Emirates Football Association,Kalba
690,Iran,Midfielder,Rouzbeh Cheshmi,32,40,3,0,Football Federation Islamic Republic of Iran,Esteghlal
691,Iran,Midfielder,Mehdi Torabi,31,52,7,0,Football Federation Islamic Republic of Iran,Tractor
692,Iran,Defender,Aria Yousefi,24,14,1,0,Football Federation Islamic Republic of Iran,Sepahan
693,Iran,Forward,Amirhossein Hosseinzadeh,25,18,5,0,Football Federation Islamic Republic of Iran,Tractor
694,Iran,Defender,Ali Nemati,30,17,0,0,Football Federation Islamic Republic of Iran,Foolad
695,Iran,Forward,Shahriyar Moghanlou,31,21,2,0,United Arab Emirates Football Association,Kalba
696,Iran,Midfielder,Mohammad Ghorbani,24,16,0,0,United Arab Emirates Football Association,Al Wahda
697,Iran,Goalkeeper,Hossein Hosseini,33,13,0,0,Football Federation Islamic Republic of Iran,Sepahan
698,Iran,Defender,Ramin Rezaeian,36,74,8,0,Football Federation Islamic Republic of Iran,Foolad
699,Iran,Forward,Dennis Eckert,29,0,0,0,Royal Belgian Football Association,Standard Liège
700,Iran,Defender,Danial Eiri,22,0,0,0,Football Federation Islamic Republic of Iran,Malavan
701,Iran,Midfielder,Amirmohammad Razzaghinia,20,4,0,0,Football Federation Islamic Republic of Iran,Esteghlal
702,New Zealand,Goalkeeper,Max Crocombe,32,24,0,0,The Football Association,Millwall
703,New Zealand,Defender,Tim Payne,32,51,3,0,New Zealand Football,Wellington Phoenix
704,New Zealand,Defender,Francis de Vries,31,20,1,0,New Zealand Football,Auckland FC
705,New Zealand,Defender,Tyler Bindon,21,25,3,0,The Football Association,Sheffield United
706,New Zealand,Defender,Michael Boxall,37,63,1,0,United States Soccer Federation,Minnesota United FC
707,New Zealand,Midfielder,Joe Bell,27,32,1,0,Norwegian Football Federation,Viking
708,New Zealand,Midfielder,Matthew Garbett,24,37,5,0,The Football Association,Peterborough United
709,New Zealand,Midfielder,Marko Stamenić,24,39,3,0,Football Association of Wales,Swansea City
710,New Zealand,Forward,Chris Wood (captain),34,90,45,0,The Football Association,Nottingham Forest
711,New Zealand,Midfielder,Sarpreet Singh,27,28,3,0,New Zealand Football,Wellington Phoenix
712,New Zealand,Midfielder,Elijah Just,26,44,9,0,Scottish Football Association,Motherwell
713,New Zealand,Goalkeeper,Alex Paulsen,23,8,0,0,Polish Football Association,Lechia Gdańsk
714,New Zealand,Defender,Liberato Cacace,25,37,1,0,Football Association of Wales,Wrexham
715,New Zealand,Midfielder,Alex Rufer,29,26,0,0,New Zealand Football,Wellington Phoenix
716,New Zealand,Defender,Nando Pijnaker,27,25,0,0,New Zealand Football,Auckland FC
717,New Zealand,Defender,Finn Surman,22,19,2,0,United States Soccer Federation,Portland Timbers
718,New Zealand,Forward,Kosta Barbarouses,36,76,10,0,Football Australia,Western Sydney Wanderers
719,New Zealand,Forward,Ben Waine,25,31,9,0,The Football Association,Port Vale
720,New Zealand,Midfielder,Ben Old,23,24,2,0,French Football Federation,Saint-Étienne
721,New Zealand,Midfielder,Callum McCowatt,27,32,4,0,Danish Football Association,Silkeborg
722,New Zealand,Forward,Jesse Randall,23,11,2,0,New Zealand Football,Auckland FC
723,New Zealand,Goalkeeper,Michael Woud,27,6,0,0,New Zealand Football,Auckland FC
724,New Zealand,Midfielder,Ryan Thomas,31,25,3,0,Royal Dutch Football Association,PEC Zwolle
725,New Zealand,Defender,Callan Elliot,26,11,0,0,New Zealand Football,Auckland FC
726,New Zealand,Midfielder,Lachlan Bayliss,23,4,0,0,Football Australia,Newcastle Jets
727,New Zealand,Defender,Tommy Smith,36,56,2,0,The Football Association,Braintree Town
728,Cape Verde,Goalkeeper,Vozinha,40,86,0,0,Portuguese Football Federation,Chaves
729,Cape Verde,Defender,Stopira,38,62,4,0,Portuguese Football Federation,Torreense
730,Cape Verde,Defender,Diney,31,30,2,0,United Arab Emirates Football Association,Al Bataeh
731,Cape Verde,Defender,Roberto Lopes,33,45,0,0,Football Association of Ireland,Shamrock Rovers
732,Cape Verde,Defender,Logan Costa,25,28,0,0,Royal Spanish Football Federation,Villarreal
733,Cape Verde,Midfielder,Kevin Pina,29,31,3,0,Russian Football Union,Krasnodar
734,Cape Verde,Midfielder,Jovane Cabral,27,27,2,0,Portuguese Football Federation,Estrela Amadora
735,Cape Verde,Midfielder,João Paulo,28,42,1,0,Romanian Football Federation,FCSB
736,Cape Verde,Forward,Gilson Benchimol,24,22,6,0,Russian Football Union,Akron Tolyatti
737,Cape Verde,Midfielder,Jamiro Monteiro,32,55,5,0,Royal Dutch Football Association,PEC Zwolle
738,Cape Verde,Midfielder,Garry Rodrigues,35,60,10,0,Cyprus Football Association,Apollon Limassol
739,Cape Verde,Goalkeeper,Márcio Rosa,29,11,0,0,Bulgarian Football Union,Montana
740,Cape Verde,Defender,Sidny Lopes Cabral,23,9,3,0,Portuguese Football Federation,Benfica
741,Cape Verde,Midfielder,Deroy Duarte,26,30,0,0,Bulgarian Football Union,Ludogorets Razgrad
742,Cape Verde,Midfielder,Laros Duarte,29,13,1,0,Hungarian Football Federation,Puskás Akadémia
743,Cape Verde,Midfielder,Yannick Semedo,30,10,1,0,Portuguese Football Federation,Farense
744,Cape Verde,Midfielder,Willy Semedo,32,38,3,0,Cyprus Football Association,Omonia
745,Cape Verde,Midfielder,Telmo Arcanjo,24,16,1,0,Portuguese Football Federation,Vitória de Guimarães
746,Cape Verde,Forward,Dailon Livramento,25,22,7,0,Portuguese Football Federation,Casa Pia
747,Cape Verde,Forward,Ryan Mendes (captain),36,98,22,0,Turkish Football Federation,Iğdır
748,Cape Verde,Midfielder,Nuno da Costa,35,9,2,0,Turkish Football Federation,İstanbul Başakşehir
749,Cape Verde,Defender,Steven Moreira,31,20,0,0,United States Soccer Federation,Columbus Crew
750,Cape Verde,Goalkeeper,CJ dos Santos,25,1,0,0,United States Soccer Federation,San Diego FC
751,Cape Verde,Defender,Wagner Pina,23,13,0,0,Turkish Football Federation,Trabzonspor
752,Cape Verde,Defender,Kelvin Pires,26,5,1,0,Football Association of Finland,SJK
753,Cape Verde,Midfielder,Hélio Varela,24,20,0,0,Israel Football Association,Maccabi Tel Aviv
754,Saudi Arabia,Goalkeeper,Nawaf Al-Aqidi,26,22,0,0,Saudi Arabian Football Federation,Al-Nassr
755,Saudi Arabia,Defender,Ali Majrashi,26,21,0,0,Saudi Arabian Football Federation,Al-Ahli
756,Saudi Arabia,Defender,Ali Lajami,30,21,1,0,Saudi Arabian Football Federation,Al-Hilal
757,Saudi Arabia,Defender,Abdulelah Al-Amri,29,42,1,0,Saudi Arabian Football Federation,Al-Nassr
758,Saudi Arabia,Defender,Hassan Al-Tambakti,27,51,1,0,Saudi Arabian Football Federation,Al-Hilal
759,Saudi Arabia,Midfielder,Nasser Al-Dawsari,27,43,0,0,Saudi Arabian Football Federation,Al-Hilal
760,Saudi Arabia,Midfielder,Musab Al-Juwayr,22,34,6,0,Saudi Arabian Football Federation,Al-Qadsiah
761,Saudi Arabia,Forward,Ayman Yahya,25,26,0,0,Saudi Arabian Football Federation,Al-Nassr
762,Saudi Arabia,Forward,Firas Al-Buraikan,26,69,15,0,Saudi Arabian Football Federation,Al-Ahli
763,Saudi Arabia,Forward,Salem Al-Dawsari (captain),34,109,27,0,Saudi Arabian Football Federation,Al-Hilal
764,Saudi Arabia,Forward,Saleh Al-Shehri,32,55,18,0,Saudi Arabian Football Federation,Al-Ittihad
765,Saudi Arabia,Defender,Saud Abdulhamid,26,54,1,0,French Football Federation,Lens
766,Saudi Arabia,Defender,Nawaf Boushal,26,24,0,0,Saudi Arabian Football Federation,Al-Nassr
767,Saudi Arabia,Defender,Hassan Kadesh,33,20,2,0,Saudi Arabian Football Federation,Al-Ittihad
768,Saudi Arabia,Midfielder,Abdullah Al-Khaibari,29,39,0,0,Saudi Arabian Football Federation,Al-Nassr
769,Saudi Arabia,Midfielder,Ziyad Al-Johani,24,12,0,0,Saudi Arabian Football Federation,Al-Ahli
770,Saudi Arabia,Forward,Khalid Al-Ghannam,25,6,0,0,Saudi Arabian Football Federation,Al-Ettifaq
771,Saudi Arabia,Midfielder,Alaa Al-Hejji,30,2,0,0,Saudi Arabian Football Federation,Neom
772,Saudi Arabia,Forward,Abdullah Al-Hamdan,26,49,12,0,Saudi Arabian Football Federation,Al-Nassr
773,Saudi Arabia,Forward,Sultan Mandash,31,6,2,0,Saudi Arabian Football Federation,Al-Hilal
774,Saudi Arabia,Goalkeeper,Mohammed Al-Owais,34,63,0,0,Saudi Arabian Football Federation,Al-Ula
775,Saudi Arabia,Goalkeeper,Ahmed Al-Kassar,35,9,0,0,Saudi Arabian Football Federation,Al-Qadsiah
776,Saudi Arabia,Midfielder,Mohamed Kanno,31,76,8,0,Saudi Arabian Football Federation,Al-Hilal
777,Saudi Arabia,Defender,Moteb Al-Harbi,26,12,0,0,Saudi Arabian Football Federation,Al-Hilal
778,Saudi Arabia,Defender,Jehad Thakri,24,7,0,0,Saudi Arabian Football Federation,Al-Qadsiah
779,Saudi Arabia,Defender,Mohammed Abu Al-Shamat,23,6,0,0,Saudi Arabian Football Federation,Al-Qadsiah
780,Spain,Goalkeeper,David Raya,30,13,0,0,The Football Association,Arsenal
781,Spain,Defender,Marc Pubill,22,2,0,0,Royal Spanish Football Federation,Atlético Madrid
782,Spain,Defender,Álex Grimaldo,30,14,0,0,German Football Association,Bayer Leverkusen
783,Spain,Defender,Eric García,25,21,0,0,Royal Spanish Football Federation,Barcelona
784,Spain,Defender,Marcos Llorente,31,24,0,0,Royal Spanish Football Federation,Atlético Madrid
785,Spain,Midfielder,Mikel Merino,29,43,10,0,The Football Association,Arsenal
786,Spain,Forward,Ferran Torres,26,57,24,0,Royal Spanish Football Federation,Barcelona
787,Spain,Midfielder,Fabián Ruiz,30,42,6,0,French Football Federation,Paris Saint-Germain
788,Spain,Midfielder,Gavi,21,30,5,0,Royal Spanish Football Federation,Barcelona
789,Spain,Forward,Dani Olmo,28,50,12,0,Royal Spanish Football Federation,Barcelona
790,Spain,Forward,Yéremy Pino,23,23,4,0,The Football Association,Crystal Palace
791,Spain,Defender,Pedro Porro,26,18,0,0,The Football Association,Tottenham Hotspur
792,Spain,Goalkeeper,Joan Garcia,25,2,0,0,Royal Spanish Football Federation,Barcelona
793,Spain,Defender,Aymeric Laporte,32,46,2,0,Royal Spanish Football Federation,Athletic Bilbao
794,Spain,Midfielder,Álex Baena,24,17,2,0,Royal Spanish Football Federation,Atlético Madrid
795,Spain,Midfielder,Rodri (captain),29,62,4,0,The Football Association,Manchester City
796,Spain,Forward,Nico Williams,23,30,6,0,Royal Spanish Football Federation,Athletic Bilbao
797,Spain,Midfielder,Martín Zubimendi,27,26,3,0,The Football Association,Arsenal
798,Spain,Forward,Lamine Yamal,18,25,6,0,Royal Spanish Football Federation,Barcelona
799,Spain,Midfielder,Pedri,23,41,6,0,Royal Spanish Football Federation,Barcelona
800,Spain,Forward,Mikel Oyarzabal,29,53,25,0,Royal Spanish Football Federation,Real Sociedad
801,Spain,Defender,Pau Cubarsí,19,12,0,0,Royal Spanish Football Federation,Barcelona
802,Spain,Goalkeeper,Unai Simón,29,58,0,0,Royal Spanish Football Federation,Athletic Bilbao
803,Spain,Defender,Marc Cucurella,27,24,1,0,The Football Association,Chelsea
804,Spain,Forward,Víctor Muñoz,22,2,1,0,Royal Spanish Football Federation,Osasuna
805,Spain,Forward,Borja Iglesias,33,8,0,0,Royal Spanish Football Federation,Celta Vigo
806,Uruguay,Goalkeeper,Sergio Rochet,33,35,0,0,Brazilian Football Confederation,Internacional
807,Uruguay,Defender,José Giménez (captain),31,99,8,0,Royal Spanish Football Federation,Atlético Madrid
808,Uruguay,Defender,Sebastián Cáceres,26,24,0,0,Mexican Football Federation,América
809,Uruguay,Defender,Ronald Araújo,27,27,1,0,Royal Spanish Football Federation,Barcelona
810,Uruguay,Midfielder,Manuel Ugarte,25,36,1,0,The Football Association,Manchester United
811,Uruguay,Midfielder,Rodrigo Bentancur,28,74,3,0,The Football Association,Tottenham Hotspur
812,Uruguay,Midfielder,Nicolás de la Cruz,29,34,5,0,Brazilian Football Confederation,Flamengo
813,Uruguay,Midfielder,Federico Valverde,27,73,9,0,Royal Spanish Football Federation,Real Madrid
814,Uruguay,Forward,Darwin Núñez,26,38,13,0,Saudi Arabian Football Federation,Al-Hilal
815,Uruguay,Midfielder,Giorgian de Arrascaeta,32,60,13,0,Brazilian Football Confederation,Flamengo
816,Uruguay,Forward,Facundo Pellistri,24,39,2,0,Hellenic Football Federation,Panathinaikos
817,Uruguay,Goalkeeper,Santiago Mele,28,8,0,0,Mexican Football Federation,Monterrey
818,Uruguay,Defender,Guillermo Varela,33,28,0,0,Brazilian Football Confederation,Flamengo
819,Uruguay,Midfielder,Agustín Canobbio,27,15,1,0,Brazilian Football Confederation,Fluminense
820,Uruguay,Midfielder,Emiliano Martínez,26,10,0,0,Brazilian Football Confederation,Palmeiras
821,Uruguay,Defender,Mathías Olivera,28,35,2,0,Italian Football Federation,Napoli
822,Uruguay,Defender,Matías Viña,28,43,1,0,Argentine Football Association,River Plate
823,Uruguay,Forward,Brian Rodríguez,26,32,4,0,Mexican Football Federation,América
824,Uruguay,Forward,Rodrigo Aguirre,31,10,3,0,Mexican Football Federation,UANL
825,Uruguay,Midfielder,Maximiliano Araújo,26,28,3,0,Portuguese Football Federation,Sporting CP
826,Uruguay,Forward,Federico Viñas,27,11,2,0,Royal Spanish Football Federation,Oviedo
827,Uruguay,Midfielder,Joaquín Piquerez,27,19,0,0,Brazilian Football Confederation,Palmeiras
828,Uruguay,Goalkeeper,Fernando Muslera,39,134,0,0,Argentine Football Association,Estudiantes
829,Uruguay,Defender,Santiago Bueno,27,8,0,0,The Football Association,Wolverhampton Wanderers
830,Uruguay,Midfielder,Juan Manuel Sanabria,26,5,1,0,United States Soccer Federation,Real Salt Lake
831,Uruguay,Midfielder,Rodrigo Zalazar,26,8,2,0,Portuguese Football Federation,Braga
832,France,Goalkeeper,Brice Samba,32,4,0,0,French Football Federation,Rennes
833,France,Defender,Malo Gusto,23,11,0,0,The Football Association,Chelsea
834,France,Defender,Lucas Digne,32,58,0,0,The Football Association,Aston Villa
835,France,Defender,Dayot Upamecano,27,38,2,0,German Football Association,Bayern Munich
836,France,Defender,Jules Koundé,27,48,0,0,Royal Spanish Football Federation,Barcelona
837,France,Midfielder,Manu Koné,25,14,0,0,Italian Football Federation,Roma
838,France,Forward,Ousmane Dembélé,29,59,7,0,French Football Federation,Paris Saint-Germain
839,France,Midfielder,Aurélien Tchouaméni,26,46,3,0,Royal Spanish Football Federation,Real Madrid
840,France,Forward,Marcus Thuram,28,34,3,0,Italian Football Federation,Inter Milan
841,France,Forward,Kylian Mbappé (captain),27,98,56,0,Royal Spanish Football Federation,Real Madrid
842,France,Forward,Michael Olise,24,17,7,0,German Football Association,Bayern Munich
843,France,Forward,Bradley Barcola,23,20,3,0,French Football Federation,Paris Saint-Germain
844,France,Midfielder,N'Golo Kanté,35,69,2,0,Turkish Football Federation,Fenerbahçe
845,France,Midfielder,Adrien Rabiot,31,59,7,0,Italian Football Federation,Milan
846,France,Defender,Ibrahima Konaté,27,28,0,0,The Football Association,Liverpool
847,France,Goalkeeper,Mike Maignan,30,40,0,0,Italian Football Federation,Milan
848,France,Defender,William Saliba,25,32,0,0,The Football Association,Arsenal
849,France,Midfielder,Warren Zaïre-Emery,20,11,1,0,French Football Federation,Paris Saint-Germain
850,France,Defender,Théo Hernandez,28,44,2,0,Saudi Arabian Football Federation,Al-Hilal
851,France,Forward,Désiré Doué,21,7,2,0,French Football Federation,Paris Saint-Germain
852,France,Defender,Lucas Hernandez,30,42,0,0,French Football Federation,Paris Saint-Germain
853,France,Forward,Jean-Philippe Mateta,28,4,2,0,The Football Association,Crystal Palace
854,France,Goalkeeper,Robin Risser,21,0,0,0,French Football Federation,Lens
855,France,Midfielder,Rayan Cherki,22,7,2,0,The Football Association,Manchester City
856,France,Midfielder,Maghnes Akliouche,24,9,1,0,French Football Federation,Monaco
857,France,Defender,Maxence Lacroix,26,4,0,0,The Football Association,Crystal Palace
858,Iraq,Goalkeeper,Fahad Talib,31,21,0,0,Iraq Football Association,Al-Talaba
859,Iraq,Defender,Rebin Sulaka,34,55,1,0,Football Association of Thailand,Port
860,Iraq,Defender,Hussein Ali,24,26,1,0,Polish Football Association,Pogoń Szczecin
861,Iraq,Defender,Zaid Tahseen,25,27,1,0,Uzbekistan Football Association,Pakhtakor
862,Iraq,Defender,Akam Hashim,27,13,1,0,Iraq Football Association,Al-Zawraa
863,Iraq,Defender,Manaf Younis,29,33,1,0,Iraq Football Association,Al-Shorta
864,Iraq,Midfielder,Youssef Amyn,22,26,2,0,Cyprus Football Federation,AEK Larnaca
865,Iraq,Midfielder,Ibrahim Bayesh,26,75,8,0,United Arab Emirates Football Association,Al Dhafra
866,Iraq,Forward,Ali Al-Hamadi,24,19,5,0,The Football Association,Luton Town
867,Iraq,Forward,Mohanad Ali,25,71,27,0,United Arab Emirates Football Association,Dibba
868,Iraq,Forward,Ahmed Qasem,22,2,0,0,United States Soccer Federation,Nashville SC
869,Iraq,Goalkeeper,Jalal Hassan (captain),35,101,0,0,Iraq Football Association,Al-Zawraa
870,Iraq,Forward,Ali Yousif,30,6,1,0,Iraq Football Association,Al-Talaba
871,Iraq,Midfielder,Zidane Iqbal,23,24,2,0,Royal Dutch Football Association,Utrecht
872,Iraq,Defender,Ahmed Maknzi,24,6,0,0,Iraq Football Association,Al-Karma
873,Iraq,Midfielder,Amir Al-Ammari,28,50,3,0,Polish Football Association,Cracovia
874,Iraq,Forward,Ali Jasim,22,36,2,0,Saudi Arabian Football Federation,Al-Najma
875,Iraq,Forward,Aymen Hussein,30,94,33,0,Iraq Football Association,Al-Karma
876,Iraq,Midfielder,Kevin Yakob,25,8,0,0,Danish Football Association,AGF
877,Iraq,Midfielder,Aimar Sher,23,6,0,0,Norwegian Football Federation,Sarpsborg 08
878,Iraq,Forward,Marko Farji,22,11,0,0,Italian Football Federation,Venezia
879,Iraq,Goalkeeper,Ahmed Basil,29,15,0,0,Iraq Football Association,Al-Shorta
880,Iraq,Defender,Merchas Doski,26,31,1,0,Football Association of the Czech Republic,Viktoria Plzeň
881,Iraq,Midfielder,Zaid Ismail,24,6,0,0,Iraq Football Association,Al-Talaba
882,Iraq,Defender,Mustafa Saadoon,25,16,0,0,Iraq Football Association,Al-Shorta
883,Iraq,Defender,Frans Putros,32,27,0,0,Football Association of Indonesia,Persib
884,Norway,Goalkeeper,Ørjan Nyland,35,71,0,0,Royal Spanish Football Federation,Sevilla
885,Norway,Midfielder,Morten Thorsby,30,31,0,0,Italian Football Federation,Cremonese
886,Norway,Defender,Kristoffer Ajer,28,52,2,0,The Football Association,Brentford
887,Norway,Defender,Leo Østigård,26,38,1,0,Italian Football Federation,Genoa
888,Norway,Defender,David Møller Wolfe,24,22,1,0,The Football Association,Wolverhampton Wanderers
889,Norway,Midfielder,Patrick Berg,28,43,0,0,Norwegian Football Federation,Bodø/Glimt
