ID,Team,Position,Player,Age,Caps,Goals,WC Goals,League,Club
166,Qatar,Forward,Akram Afif,29,125,39,0,Qatar Football Association,Al-Sadd
167,Qatar,Midfielder,Karim Boudiaf,35,118,5,0,Qatar Football Association,Al-Duhail
168,Qatar,Defender,Ayoub Al-Oui,21,6,0,0,Qatar Football Association,Al-Gharafa
169,Qatar,Defender,Homam Ahmed,26,68,3,0,Royal Spanish Football Federation,Cultural Leonesa
170,Qatar,Forward,Yusuf Abdurisag,26,39,3,0,Qatar Football Association,Al-Wakrah
171,Qatar,Defender,Boualem Khoukhi,35,116,20,0,Qatar Football Association,Al-Sadd
172,Qatar,Midfielder,Ahmed Al-Ganehi,25,13,1,0,Qatar Football Association,Al-Gharafa
173,Qatar,Defender,Sultan Al-Brake,30,17,0,0,Qatar Football Association,Al-Duhail
174,Qatar,Forward,Almoez Ali,29,115,55,0,Qatar Football Association,Al-Duhail
175,Qatar,Midfielder,Ahmed Fathy,33,48,0,0,Qatar Football Association,Al-Arabi
176,Qatar,Goalkeeper,Salah Zakaria,27,8,0,0,Qatar Football Association,Al-Duhail
177,Qatar,Goalkeeper,Meshaal Barsham,28,52,0,0,Qatar Football Association,Al-Sadd
178,Qatar,Midfielder,Assim Madibo,29,51,0,0,Qatar Football Association,Al-Wakrah
179,Qatar,Forward,Tahsin Jamshid,19,3,0,0,Qatar Football Association,Al-Duhail
180,Qatar,Defender,Al-Hashmi Al-Hussain,22,8,0,0,Qatar Football Association,Al-Arabi
181,Qatar,Forward,Mohamed Manai,23,10,0,0,Qatar Football Association,Al-Shamal
182,Switzerland,Goalkeeper,Gregor Kobel,28,21,0,0,German Football Association,Borussia Dortmund
183,Switzerland,Defender,Miro Muheim,28,10,0,0,German Football Association,Hamburger SV
184,Switzerland,Defender,Silvan Widmer,33,60,5,0,German Football Association,Mainz 05
185,Switzerland,Defender,Nico Elvedi,29,67,3,0,German Football Association,Borussia Mönchengladbach
186,Switzerland,Defender,Manuel Akanji,30,81,4,0,Italian Football Federation,Inter Milan
187,Switzerland,Midfielder,Denis Zakaria,29,65,3,0,French Football Federation,Monaco
188,Switzerland,Forward,Breel Embolo,29,86,24,0,French Football Federation,Rennes
189,Switzerland,Midfielder,Remo Freuler,34,88,11,0,Italian Football Federation,Bologna
